	130A1	130A2	130A3	130G1	130G2	130G3
ENSG00000223972	0.892116631429414	0	4.33565737592215	0	2.87248853659314	0
ENSG00000227232	284.585205425983	363.189445557428	409.719622024643	249.143701818518	194.371724309469	308.341700883038
ENSG00000278267	32.1161987314589	18.8669841848014	32.5174303194161	24.0138507776885	12.4474503252369	5.33463150316674
ENSG00000243485	0	0	0	0	0	0
ENSG00000274890	0	0	0	0	0	0
ENSG00000237613	0	0	0	0	0	0
ENSG00000268020	0	0	0	0	0	0
ENSG00000240361	0	0	0	0	0	0
ENSG00000186092	0	0	0	0	0	0
ENSG00000238009	3.56846652571766	0.943349209240072	1.08391434398054	3.00173134721106	1.91499235772876	0
ENSG00000239945	0	0	0	0	0	0
ENSG00000233750	16.0580993657295	6.6034444646805	5.41957171990269	9.00519404163317	15.3199388618301	11.7361893069668
ENSG00000268903	71.3693305143532	99.9950161794476	173.426295036886	60.0346269442211	60.3222592684559	78.9525462468678
ENSG00000269981	74.9377970400708	45.2807620435235	47.6922311351437	62.0357811756952	61.2797554473203	84.2871777500346
ENSG00000239906	11.5975162085824	2.83004762772022	0	0	0.95749617886438	1.06692630063335
ENSG00000241860	71.3693305143532	25.4704286494819	17.3426295036886	41.0236617452178	62.2372516261847	39.4762731234339
ENSG00000222623	0	0	0	0	0	0
ENSG00000241599	0	0	0	0	0	0
ENSG00000279928	2.67634989428824	3.77339683696029	10.8391434398054	0	0	0
ENSG00000279457	731.53563777212	1112.20871769404	1236.74626648179	605.349155020897	595.562623253644	599.612580955942
ENSG00000273874	0	0	0	0	0	0
ENSG00000275135	0	0	0	0	0	0
ENSG00000228463	83.858963354365	45.2807620435235	71.5383467027155	54.031164249799	69.8972210570997	41.6101257247006
ENSG00000241670	0	0	0	0	0	0
ENSG00000236679	1.78423326285883	5.66009525544043	1.08391434398054	8.00461692589615	4.7874808943219	2.1338526012667
ENSG00000236743	7.13693305143532	4.71674604620036	3.25174303194161	8.00461692589615	6.70247325205066	6.40155780380009
ENSG00000236601	66.0166307257767	103.768413016408	82.3774901425209	20.0115423147404	28.7248853659314	16.0038945095002
ENSG00000237094	46.3900648343296	44.3374128342834	17.3426295036886	46.0265473239029	52.6622898375409	44.8109046266007
ENSG00000269732	0	0	0	0	0	0
ENSG00000278566	0	0	0	0	0	1.06692630063335
ENSG00000224813	0	0	0	0	0	0
ENSG00000233653	0	0.943349209240072	0	0	4.7874808943219	0
ENSG00000250575	9.81328294572356	9.43349209240072	5.41957171990269	9.00519404163317	5.74497707318628	6.40155780380009
ENSG00000278757	1.78423326285883	0	0	0	0	2.1338526012667
ENSG00000230021	33.9004319943177	28.3004762772022	24.9300299115524	33.0190448193216	36.3848547968464	27.7400838164671
ENSG00000235146	0	0.943349209240072	0	0	0	2.1338526012667
ENSG00000225972	28.5477322057413	53.7709049266841	82.3774901425209	48.0277015553769	35.4273586179821	23.4723786139337
ENSG00000225630	10138.9055161953	11008.8852718316	11984.8409013928	7958.59037857225	7820.82878896425	8135.31304232929
ENSG00000276171	339.004319943178	382.056429742229	507.271912982892	186.107343527086	148.411907723979	134.432713879802
ENSG00000237973	2985.02224876282	3471.52509000346	4361.67132017769	2186.26099788539	1958.07968577766	2009.0222240926
ENSG00000278791	0	0	0	0	0	0
ENSG00000229344	49.0664147286178	83.0147304131263	109.475348742034	54.031164249799	57.4497707318628	64.0155780380009
ENSG00000240409	5.35269978857649	2.83004762772022	1.08391434398054	0	1.91499235772876	1.06692630063335
ENSG00000248527	35053.0466821245	40432.8904572387	48161.5660460872	31922.4123004739	28899.1496704847	31703.71502332
ENSG00000198744	52.6348812543355	58.4876509728845	62.8670319508712	49.0282786711139	30.6398777236602	43.7439783259673
ENSG00000268663	0	0	0	0	0	0
