	130A1	130A2	130A3	130G1	130G2	130G3
DDX11L1	0.892116631429414	0	4.33633899918404	0	2.87275256690176	0
WASH7P	2286.49492635359	2822.5008340463	3511.35050458927	1878.78906603835	1800.25827525844	1907.99026079512
MIR6859-1	32.1161987314589	18.8669841848014	32.5225424938803	24.0100839110332	12.4485944565743	5.33554323488568
RP11-34P13.3	0	0	0	0	0	0
MIR1302-2	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0
OR4G4P	0	0	0	0	0	0
OR4G11P	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0
RP11-34P13.7	3.56846652571766	0.943349209240072	1.08408474979601	3.00126048887915	1.91516837793451	0
RP11-34P13.8	0	0	0	0	0	0
CICP27	16.0580993657295	6.6034444646805	5.42042374898005	9.00378146663744	15.3213470234761	11.7381951167485
RP11-34P13.15	71.3693305143532	99.9950161794476	173.453559967361	60.025209777583	60.327803904937	78.966039876308
RP11-34P13.16	74.9377970400708	45.2807620435235	47.6997289910244	62.0260501035024	61.2853880939043	84.3015831111937
RP11-34P13.14	11.5975162085824	2.83004762772022	0	0	0.957584188967254	1.06710864697714
RP11-34P13.13	71.3693305143532	25.4704286494819	17.3453559967361	41.0172266813484	62.2429722828715	39.483019938154
RNU6-1100P	0	0	0	0	0	0
RP11-34P13.9	0	0	0	0	0	0
FO538757.3	2.67634989428824	3.77339683696029	10.8408474979601	0	0	0
FO538757.2	731.53563777212	1112.20871769404	1236.94069951725	605.254198590628	595.617365537632	599.71505960115
MIR6859-2	0	0	0	0	0	0
FO538757.1	0	0	0	0	0	0
AP006222.2	83.858963354365	45.2807620435235	71.5495934865366	54.0226887998247	69.9036457946095	41.6172372321083
RPL23AP21	0	0	0	0	0	0
RPL23AP24	1.78423326285883	5.66009525544043	1.08408474979601	8.00336130367773	4.78792094483627	2.13421729395427
RP5-857K21.15	7.13693305143532	4.71674604620036	3.25225424938803	8.00336130367773	6.70308932277078	6.40265188186281
RP4-669L17.2	66.0166307257767	103.768413016408	82.3904409844967	20.0084032591943	28.7275256690176	16.006629704657
RP4-669L17.10	46.3900648343296	44.3374128342834	17.3453559967361	46.0193274961469	52.667130393199	44.8185631730397
WBP1LP7	0	0	0	0	0	0
OR4F29	0	0	0	0	0	1.06710864697714
SEPT14P13	0	0	0	0	0	0
CICP7	0	0.943349209240072	0	0	4.78792094483627	0
RP4-669L17.8	9.81328294572356	9.43349209240072	5.42042374898005	9.00378146663744	5.74550513380352	6.40265188186281
U6	1.78423326285883	0	0	0	3.83033675586902	2.13421729395427
RP5-857K21.4	33.9004319943177	28.3004762772022	24.9339492453082	33.0138653776706	36.3881991807557	27.7448248214055
RP5-857K21.2	0	0.943349209240072	0	0	0	2.13421729395427
MTND1P23	28.5477322057413	53.7709049266841	82.3904409844967	48.0201678220664	35.4306149917884	23.476390233497
MTND2P28	10138.9055161953	11008.8852718316	11986.7250784945	7957.34197618158	7821.54765548453	8136.70343320066
AC114498.1	339.004319943178	382.056429742229	507.351662904532	186.078150310507	148.425549289924	134.455689519119
MTCO1P12	2985.02224876282	3471.52509000346	4362.35703317914	2185.91805606698	1958.25966643803	2009.36558225795
MIR6723	0	0	0	0	0	0
MTCO2P12	49.0664147286178	83.0147304131263	109.492559729397	54.0226887998247	57.4550513380352	64.0265188186281
MTATP8P1	5.35269978857649	2.83004762772022	1.08408474979601	0	1.91516837793451	1.06710864697714
MTATP6P1	35053.0466821245	40432.8904572387	48169.1376876861	31917.4048790668	28901.8059914097	31709.1334449256
MTCO3P12	52.6348812543355	58.4876509728845	62.8769154881685	49.0205879850261	30.6426940469521	43.7514545260626
WBP1LP6	0	0	0	0	0	0
OR4F16	0	0	0	0	0	1.06710864697714
CICP3	8.92116631429414	4.71674604620036	0	7.00294114071801	5.74550513380352	9.60397782279422
RP11-206L10.2	297.074838265995	214.140270497496	96.4835427318448	269.113023836164	356.221318295819	298.790421153598
RNU6-1199P	0	0	0	0	0	0
RP11-206L10.4	0	0	0	0	0	0
RP11-206L10.9	167.71792670873	174.519603709413	84.5586104840887	111.046638088528	95.7584188967254	104.576647403759
RP11-206L10.8	32.1161987314589	25.4704286494819	37.9429662428603	18.0075629332749	15.3213470234761	37.3488026441998
FAM87B	6.2448164200059	5.66009525544043	4.33633899918404	14.005882281436	7.66067351173803	9.60397782279422
LINC01128	686.03768956922	638.647414655529	694.898324619242	627.263442175742	697.121289568161	645.600731421167
LINC00115	38.3610151514648	32.0738731141624	60.7087459885765	28.011764562872	28.7275256690176	25.6106075274513
FAM41C	3.56846652571766	0	1.08408474979601	0	0	0
TUBB8P11	0.892116631429414	0.943349209240072	2.16816949959202	0	0	0
FAM166AP3	0	0	0	0	0	0
RP11-54O7.16	33.9004319943177	33.0172223234025	40.1111357424523	21.008823422154	14.3637628345088	9.60397782279422
RP11-54O7.1	106.1618791401	83.0147304131263	91.0631189828648	34.0142855406303	66.0733090387405	46.952780466994
RP11-54O7.2	0	1.88669841848014	0	0	0	0
RP11-54O7.3	3533.67397709191	4055.45825052307	3950.40482825666	1787.75083120901	2004.22370750846	1904.78893485419
SAMD11	2120.56123290772	2798.91710381529	2856.56331571248	1526.64116867653	1610.65660584292	1760.72926751227
NOC2L	7013.82095629806	8238.26864429355	8216.27831870395	10629.464231447	10771.8645416926	10580.3822347783
KLHL17	1175.80972022397	1347.10267079482	1415.81468323359	1191.50041408502	1267.84146619264	1229.30916131766
AL645608.1	0	0	0	0	0	0
PLEKHN1	444.274082451848	448.090874389034	367.504730180847	525.220585553851	511.349956908514	553.829387781133
PERM1	226.597624383071	343.379112163386	389.186425176767	199.083612428983	258.547731021159	292.387769271735
RP11-54O7.17	156.120410500148	129.23884166589	135.510593724501	182.076469658668	159.916559557531	132.321472225165
HES4	961.701728680909	1439.55089330035	1911.24141389036	1344.56469901786	1511.06785019033	1412.85184859773
ISG15	1869.87645947605	2889.47862790234	4372.1137959273	1980.83192266024	1955.38691387113	2007.23136496399
RP11-54O7.10	1.78423326285883	0.943349209240072	0	2.00084032591943	0	1.06710864697714
RP11-54O7.11	23.1950324171648	33.0172223234025	36.8588814930643	14.005882281436	25.8547731021159	32.0132594093141
AGRN	16602.2905109014	14786.9988548381	10813.7453792152	18866.9238532573	18817.4868973955	17848.4592293396
RP11-54O7.14	0	0	0	0	0	0
