	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NEGR1	850.3161188	-13.16424389	1.201467318	-10.95680564	6.16E-28	7.23E-26
UCN3	87.73639524	-9.885773748	1.227999323	-8.050308793	8.26E-16	4.14E-14
COX7B2	56.46879362	-9.248889241	1.260479484	-7.337596018	2.17E-13	8.37E-12
AC006262.5	1173.800776	-8.766125033	0.400661725	-21.8791177	4.11E-106	6.65E-103
RNU1-61P	33.8791706	-8.512647523	1.250925243	-6.805080935	1.01E-11	3.09E-10
SNCAIP	32.39142622	-8.451237202	1.251616134	-6.752259716	1.46E-11	4.34E-10
VCX3A	31.11174557	-8.38859006	1.270768626	-6.601193865	4.08E-11	1.14E-09
LINC00704	101.1555626	-8.227713803	1.055383198	-7.795949205	6.39E-15	2.92E-13
TNFSF15	26.68039146	-8.172542623	1.313243327	-6.22317468	4.87E-10	1.15E-08
CDH17	22.46997559	-7.921380354	1.284717683	-6.165852979	7.01E-10	1.61E-08
HLA-DQB1-AS1	18.23885031	-7.622307686	1.2989675	-5.867974129	4.41E-09	9.04E-08
AC007193.6	16.8173454	-7.504790187	1.320328989	-5.684030459	1.32E-08	2.48E-07
AC005256.1	16.74521509	-7.493669988	1.336303065	-5.607762328	2.05E-08	3.75E-07
LINC00705	16.37560782	-7.466181759	1.305350743	-5.719674806	1.07E-08	2.05E-07
IGFL1	56.63041806	-7.388828964	1.094190947	-6.752778374	1.45E-11	4.33E-10
UGT2B7	26.18146248	-7.169416333	1.269672529	-5.646665712	1.64E-08	3.03E-07
CAPNS2	12.58739652	-7.08568328	1.338838943	-5.292409005	1.21E-07	1.94E-06
LINC01446	11.95662975	-7.016508421	1.421376885	-4.936416581	7.96E-07	1.07E-05
IGFL1P1	43.32003883	-6.99631857	1.106923459	-6.320507995	2.61E-10	6.45E-09
MAGEB16	11.36375263	-6.93705004	1.357686265	-5.109464695	3.23E-07	4.70E-06
CTD-2280E9.1	22.10899887	-6.926880762	1.279216099	-5.414941827	6.13E-08	1.03E-06
RP11-109M17.2	20.97722576	-6.845818413	1.447068479	-4.730818558	2.24E-06	2.74E-05
KLK1	54.25459144	-6.739358633	0.917191553	-7.347820215	2.01E-13	7.79E-12
KRT6A	460.3613692	-6.709413839	0.333859391	-20.0965257	7.91E-90	8.74E-87
DACH2	9.233368011	-6.643343701	1.44390273	-4.60096346	4.21E-06	4.83E-05
PPARGC1A	168.7642675	-6.631424528	0.532992465	-12.44187294	1.55E-35	2.87E-33
SCGB3A2	65.75664618	-6.595394035	0.78482533	-8.403645735	4.33E-17	2.46E-15
CTD-2008L17.2	8.596224902	-6.529742296	1.49065965	-4.38043808	1.18E-05	0.000121935
NUDT10	8.459412267	-6.518107721	1.5388418	-4.235723076	2.28E-05	0.000218514
S100A5	8.353715103	-6.489072887	1.465408846	-4.428165493	9.50E-06	0.000100004
ILDR2	8.066939322	-6.439293917	1.569198057	-4.103557156	4.07E-05	0.000365815
SSTR3	8.040837534	-6.436593151	1.456246906	-4.419987521	9.87E-06	0.000103372
RPTN	7.813537967	-6.398441329	3.904186238	-1.638866832	0.101240997	0.229552689
RP11-14D22.1	7.798915933	-6.391273909	1.497903195	-4.266813722	1.98E-05	0.000192776
KRT6B	28.14874903	-6.378438973	1.115991175	-5.715492307	1.09E-08	2.09E-07
RP11-320G10.1	7.576129525	-6.347342047	1.510548025	-4.202012741	2.65E-05	0.000249802
LINC00458	7.525587845	-6.337755313	1.616646692	-3.920309456	8.84E-05	0.000722902
VIM-AS1	355.6609202	-6.335468195	0.369255953	-17.15738943	5.53E-66	3.36E-63
CT83	159.5975073	-6.293957263	0.522158762	-12.05372336	1.85E-33	3.06E-31
MTMR8	6.851539065	-6.213389417	1.532024285	-4.055672927	5.00E-05	0.000438764
