Protein FDR Confidence Combined	Master	Accession	Description	% Coverage	# Peptides	# PSMs	# Unique Peptides	MW in kDa	Gene Symbol	Abundance 1161573	Abundance 1161574	Abundance 1161575	Abundance 1161576	Abundance 1161577	Abundance 1161578																																		
High	Master Protein	P04406	Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3	85	22	2434	22	36	GAPDH	8.26E+09	6.86E+09	8.48E+09	5.95E+09	6.42E+09	6.69E+09																																		
High	Master Protein	P63261	"Actin, cytoplasmic 2 OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1"	86	24	2238	12	41.8	ACTG1	2.03E+10	1.95E+10	2.02E+10	1.53E+10	1.55E+10	1.49E+10																																		
High	Master Protein	P49327	Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=3	74	126	1769	126	273.3	FASN	5.83E+09	4.16E+09	6.05E+09	4.10E+09	3.93E+09	4.20E+09																																		
High	Master Protein	Q09666	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2	72	244	1576	244	628.7	AHNAK	1.83E+09	1.61E+09	1.65E+09	2.31E+09	2.15E+09	2.49E+09																																		
High	Master Protein	Q15149	Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3	61	257	1565	249	531.5	PLEC	1.24E+09	1.07E+09	1.17E+09	1.40E+09	1.38E+09	1.43E+09																																		
High	Master Protein	P21333	Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4	74	146	1512	136	280.6	FLNA	5.02E+09	4.50E+09	5.12E+09	4.07E+09	4.21E+09	4.34E+09																																		
High	Master Protein	P07900	Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5	73	53	1485	31	84.6	HSP90AA1	8.26E+09	8.07E+09	7.60E+09	6.10E+09	6.33E+09	6.67E+09																																		
High	Master Protein	Q9BQE3	Tubulin alpha-1C chain OS=Homo sapiens OX=9606 GN=TUBA1C PE=1 SV=1	72	25	1440	3	49.9	TUBA1C	4.63E+08	4.16E+08	5.99E+08	5.61E+08	4.77E+08	4.67E+08																																		
High	Master Protein	P68366	Tubulin alpha-4A chain OS=Homo sapiens OX=9606 GN=TUBA4A PE=1 SV=1	57	22	1305	4	49.9	TUBA4A	2.45E+08	8.19E+07	2.07E+08	8.99E+07	1.93E+08	1.79E+08																																		
High	Master Protein	Q71U36	Tubulin alpha-1A chain OS=Homo sapiens OX=9606 GN=TUBA1A PE=1 SV=1	73	26	1297	3	50.1	TUBA1A	7.73E+09	6.29E+09	7.55E+09	4.76E+09	5.35E+09	5.73E+09																																		
